wavelength,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,0.1965
351,,0.1859
352,,0.1752
353,,0.1644
354,,0.1537
355,,0.1438
356,,0.1354
357,,0.1286
358,,0.1219
359,,0.1151
360,,0.1092
361,,0.1046
362,,0.1003
363,,0.0959
364,,0.0921
365,,0.0896
366,,0.0881
367,,0.0869
368,,0.0854
369,,0.0827
370,,0.0794
371,,0.0769
372,,0.0758
373,,0.0748
374,,0.0725
375,,0.0701
376,,0.0678
377,,0.0665
378,,0.0649
379,,0.0629
380,,0.0605
381,,0.0579
382,,0.0556
383,,0.0532
384,,0.0509
385,,0.0483
386,,0.0461
387,,0.0439
388,,0.0417
389,,0.0391
390,,0.0366
391,,0.0338
392,,0.0313
393,,0.0289
394,,0.0268
395,,0.025
396,,0.0229
397,,0.0207
398,,0.0192
399,,0.0185
400,,0.0176
401,,0.0165
402,,0.0153
403,,0.0143
404,,0.0136
405,,0.0131
406,,0.0126
407,,0.0124
408,,0.0123
409,,0.0122
410,,0.0121
411,,0.012
412,,0.0119
413,,0.0121
414,,0.0124
415,,0.0124
416,,0.0125
417,,0.0128
418,,0.0129
419,,0.0127
420,,0.013
421,,0.0136
422,,0.0141
423,,0.0142
424,,0.0145
425,,0.0147
426,,0.0148
427,,0.0152
428,,0.0159
429,,0.0168
430,,0.0174
431,,0.0177
432,,0.018
433,,0.0186
434,,0.0193
435,,0.0199
436,,0.0207
437,,0.0217
438,,0.0226
439,,0.0234
440,,0.0245
441,,0.0258
442,,0.0271
443,,0.0282
444,,0.0297
445,,0.0315
446,,0.0333
447,,0.0345
448,,0.036
449,,0.0382
450,,0.0406
451,,0.0427
452,,0.0446
453,,0.0472
454,,0.0501
455,,0.0529
456,,0.0551
457,,0.0572
458,,0.0597
459,,0.0627
460,,0.0662
461,,0.0701
462,,0.0739
463,,0.077
464,,0.0795
465,,0.0825
466,,0.0856
467,,0.0888
468,,0.0925
469,,0.097
470,,0.1012
471,,0.1048
472,,0.1086
473,,0.1133
474,,0.1176
475,,0.1219
476,,0.1264
477,,0.1318
478,,0.1374
479,,0.1436
480,,0.1498
481,,0.1556
482,,0.1608
483,,0.1661
484,,0.172
485,,0.1785
486,,0.1846
487,,0.1904
488,,0.196
489,,0.2019
490,,0.208
491,,0.2144
492,,0.2204
493,,0.2267
494,,0.2333
495,,0.2405
496,,0.2473
497,,0.2544
498,,0.2622
499,,0.2706
500,,0.278
501,,0.2854
502,,0.2947
503,,0.3056
504,,0.3156
505,,0.3251
506,,0.3365
507,,0.3492
508,,0.3617
509,,0.3737
510,,0.387
511,,0.4016
512,,0.4155
513,,0.4282
514,,0.4404
515,,0.4532
516,,0.4674
517,,0.482
518,,0.4966
519,,0.509
520,,0.5213
521,,0.5341
522,,0.5475
523,,0.5593
524,,0.5691
525,,0.5769
526,,0.5847
527,,0.5924
528,,0.6004
529,,0.6072
530,,0.6128
531,,0.6178
532,,0.6222
533,,0.6266
534,,0.6307
535,,0.6343
536,,0.6376
537,,0.641
538,,0.6448
539,,0.6493
540,0.007,0.6553
541,0.0074,0.6646
542,0.0083,0.6765
543,0.0095,0.689
544,0.0109,0.7006
545,0.0124,0.7137
546,0.0144,0.729
547,0.0167,0.7458
